proba_col,threshold,precision,recall,specificity,accuracy,f1,fpr,tn,fp,fn,tp
s1_pred_proba,0.06,0.18092275790565054,0.6480965645311044,0.8637989741821473,0.8542301672295906,0.28287740628132024,0.13620102581785268,20041,3160,379,698
s1_pred_proba,0.07,0.20202329858982213,0.611884865366759,0.8878065600620663,0.8755663563720241,0.3037566259503065,0.11219343993793371,20598,2603,418,659
s1_pred_proba,0.08,0.21421319796954308,0.5877437325905287,0.8999181069781474,0.8860696927259247,0.31398809523770355,0.10008189302185251,20879,2322,444,633
s1_pred_proba,0.09,0.2276667923105917,0.5608170844939643,0.9116848411706392,0.8961199439822061,0.32386058981192156,0.08831515882936081,21152,2049,473,604
s1_pred_proba,0.1,0.2419958419958419,0.5403899721448463,0.9214258006120426,0.9045226130653267,0.3342906375641906,0.07857419938795741,21378,1823,495,582
s1_pred_proba,0.11,0.25454545454545446,0.5199628597957284,0.9293133916641524,0.9111541313122992,0.34177601464710206,0.0706866083358476,21561,1640,517,560
s1_pred_proba,0.12,0.2635774788241155,0.49117920148560773,0.9362958493168398,0.916549962929401,0.3430609597920226,0.06370415068316021,21723,1478,548,529
s1_pred_proba,0.13,0.2734627831715209,0.47075208913648986,0.9419421576656178,0.9210396243512645,0.3459570112584909,0.05805784233438214,21854,1347,570,507
s1_pred_proba,0.14,0.28877005347593565,0.45125348189415004,0.948407396232921,0.9263530768597084,0.3521739130430021,0.051592603767079005,22004,1197,591,486
s1_pred_proba,0.15,0.3024326101249176,0.4271123491179198,0.9542692125339425,0.9308839278359008,0.35411855273238585,0.0457307874660575,22140,1061,617,460
s1_pred_proba,0.16,0.3156384505021519,0.4085422469823581,0.958881082711952,0.9344674190625257,0.35613112100315025,0.04111891728804793,22247,954,637,440
s1_pred_proba,0.17,0.3319903303787266,0.38254410399257166,0.964268781518038,0.9384628058324409,0.35547886108664634,0.035731218481961986,22372,829,665,412
